Date,Open,High,Low,Close,Gain,% Gain
3/8/2019,2730.79,2744.13,2722.27,2743.07,12.28,0.0045
3/11/2019,2747.61,2784.00,2747.61,2783.30,35.69,0.0130
3/12/2019,2787.34,2798.32,2786.73,2791.52,4.18,0.0015
3/13/2019,2799.78,2821.24,2799.78,2810.92,11.14,0.0040
3/14/2019,2810.38,2815.00,2803.46,2808.48,-1.90,-0.0007
3/15/2019,2810.79,2830.73,2810.79,2822.48,11.69,0.0042
3/18/2019,2822.61,2835.41,2821.99,2832.94,10.33,0.0037
3/19/2019,2840.76,2852.42,2823.27,2832.57,-8.19,-0.0029
3/20/2019,2831.34,2843.54,2812.43,2824.23,-7.11,-0.0025
3/21/2019,2819.72,2860.31,2817.38,2854.88,35.16,0.0125
3/22/2019,2844.52,2846.16,2800.47,2800.71,-43.81,-0.0154
3/25/2019,2796.01,2809.79,2785.02,2798.36,2.35,0.0008
3/26/2019,2812.66,2829.87,2803.99,2818.46,5.80,0.0021
3/27/2019,2819.72,2825.56,2787.72,2805.37,-14.35,-0.0051
3/28/2019,2809.40,2819.71,2798.77,2815.44,6.04,0.0022
3/29/2019,2828.27,2836.03,2819.23,2834.40,6.13,0.0022
4/1/2019,2848.63,2869.40,2848.63,2867.19,18.56,0.0065
4/2/2019,2868.24,2872.90,2858.75,2867.24,-1.00,-0.0003
4/3/2019,2876.09,2885.25,2865.17,2873.40,-2.69,-0.0009
4/4/2019,2873.99,2881.28,2867.14,2879.39,5.40,0.0019
4/5/2019,2884.16,2893.24,2882.99,2892.74,8.58,0.0030
4/8/2019,2888.46,2895.95,2880.78,2895.77,7.31,0.0025
4/9/2019,2886.58,2886.88,2873.33,2878.20,-8.38,-0.0029
4/10/2019,2881.37,2889.71,2879.13,2888.21,6.84,0.0024
4/11/2019,2891.92,2893.42,2881.99,2888.32,-3.60,-0.0012
4/12/2019,2900.86,2910.54,2898.37,2907.41,6.55,0.0023
4/15/2019,2908.32,2909.60,2896.48,2905.58,-2.74,-0.0009
4/16/2019,2912.26,2916.06,2900.71,2907.06,-5.20,-0.0018
4/17/2019,2916.04,2918.00,2895.45,2900.45,-15.59,-0.0053
4/18/2019,2904.81,2908.40,2891.90,2905.03,0.22,0.0001
4/22/2019,2898.78,2909.51,2896.35,2907.97,9.19,0.0032
4/23/2019,2909.99,2936.31,2908.53,2933.68,23.69,0.0081
4/24/2019,2934.00,2936.83,2926.05,2927.25,-6.75,-0.0023
4/25/2019,2928.99,2933.10,2912.84,2926.17,-2.82,-0.0010
4/26/2019,2925.81,2939.88,2917.56,2939.88,14.07,0.0048
4/29/2019,2940.58,2949.52,2939.35,2943.03,2.45,0.0008
4/30/2019,2937.14,2948.22,2924.11,2945.83,8.69,0.0030
5/1/2019,2952.33,2954.13,2923.36,2923.73,-28.60,-0.0097
5/2/2019,2922.16,2931.68,2900.50,2917.52,-4.64,-0.0016
5/3/2019,2929.21,2947.85,2929.21,2945.64,16.43,0.0056
5/6/2019,2908.89,2937.32,2898.21,2932.47,23.58,0.0081
5/7/2019,2913.03,2913.03,2862.60,2884.05,-28.98,-0.0099
5/8/2019,2879.61,2897.96,2873.28,2879.42,-0.19,-0.0001
5/9/2019,2859.84,2875.97,2836.40,2870.72,10.88,0.0038
5/10/2019,2863.10,2891.31,2825.39,2881.40,18.30,0.0064
5/13/2019,2840.19,2840.19,2801.43,2811.87,-28.32,-0.0100
5/14/2019,2820.12,2852.54,2820.12,2834.41,14.29,0.0051
5/15/2019,2820.38,2858.68,2815.08,2850.96,30.58,0.0108
5/16/2019,2855.80,2892.15,2855.80,2876.32,20.52,0.0072
5/17/2019,2858.60,2885.48,2854.23,2859.53,0.93,0.0003
5/20/2019,2841.94,2853.86,2831.29,2840.23,-1.71,-0.0006
5/21/2019,2854.02,2868.88,2854.02,2864.36,10.34,0.0036
5/22/2019,2856.06,2865.47,2851.11,2856.27,0.21,0.0001
5/23/2019,2836.70,2836.70,2805.49,2822.24,-14.46,-0.0051
5/24/2019,2832.41,2841.36,2820.19,2826.06,-6.35,-0.0022
5/28/2019,2830.03,2840.51,2801.58,2802.39,-27.64,-0.0098
5/29/2019,2790.25,2792.03,2766.06,2783.02,-7.23,-0.0026
5/30/2019,2786.94,2799.00,2776.74,2788.86,1.92,0.0007
5/31/2019,2766.15,2768.98,2750.52,2752.06,-14.09,-0.0051
6/3/2019,2751.53,2763.07,2728.81,2744.45,-7.08,-0.0026
6/4/2019,2762.64,2804.49,2762.64,2803.27,40.63,0.0147
6/5/2019,2818.09,2827.28,2800.92,2826.15,8.06,0.0029
6/6/2019,2828.51,2852.10,2822.45,2843.49,14.98,0.0053
6/7/2019,2852.87,2884.97,2852.87,2873.34,20.47,0.0072
6/10/2019,2885.83,2904.77,2885.51,2886.73,0.90,0.0003
6/11/2019,2903.27,2910.61,2878.53,2885.72,-17.55,-0.0060
6/12/2019,2882.73,2888.57,2874.68,2879.84,-2.89,-0.0010
6/13/2019,2886.24,2895.24,2881.99,2891.64,5.40,0.0019
6/14/2019,2886.82,2894.45,2879.62,2886.98,0.16,0.0001
6/17/2019,2889.75,2897.27,2887.30,2889.67,-0.08,0.0000
6/18/2019,2906.71,2930.79,2905.44,2917.75,11.04,0.0038
6/19/2019,2920.55,2931.74,2911.43,2926.46,5.91,0.0020
6/20/2019,2949.60,2958.06,2931.50,2954.18,4.58,0.0016
6/21/2019,2952.71,2964.15,2946.87,2950.46,-2.25,-0.0008
6/24/2019,2951.42,2954.92,2944.05,2945.35,-6.07,-0.0021
6/25/2019,2945.78,2946.52,2916.01,2917.38,-28.40,-0.0096
6/26/2019,2926.07,2932.59,2912.99,2913.78,-12.29,-0.0042
6/27/2019,2919.66,2929.30,2918.57,2924.92,5.26,0.0018
6/28/2019,2932.94,2943.98,2929.05,2941.76,8.82,0.0030
7/1/2019,2971.41,2977.93,2952.22,2964.33,-7.08,-0.0024
7/2/2019,2964.66,2973.21,2955.92,2973.01,8.35,0.0028
7/3/2019,2978.08,2995.84,2977.96,2995.82,17.74,0.0060
7/5/2019,2984.25,2994.03,2967.97,2990.41,6.16,0.0021
7/8/2019,2979.77,2980.76,2970.09,2975.95,-3.82,-0.0013
7/9/2019,2965.52,2981.90,2963.44,2979.63,14.11,0.0048
7/10/2019,2989.30,3002.98,2984.62,2993.07,3.77,0.0013
7/11/2019,2999.62,3002.33,2988.80,2999.91,0.29,0.0001
7/12/2019,3003.36,3013.92,3001.87,3013.77,10.41,0.0035
7/15/2019,3017.80,3017.80,3008.77,3014.30,-3.50,-0.0012
7/16/2019,3012.13,3015.02,3001.15,3004.04,-8.09,-0.0027
7/17/2019,3005.10,3005.26,2984.25,2984.42,-20.68,-0.0069
7/18/2019,2978.87,2998.28,2973.09,2995.11,16.24,0.0055
7/19/2019,3004.26,3006.02,2975.86,2976.61,-27.65,-0.0092
7/22/2019,2981.93,2990.71,2976.65,2985.03,3.10,0.0010
7/23/2019,2994.74,3005.90,2988.56,3005.47,10.73,0.0036
7/24/2019,2998.77,3019.59,2996.82,3019.56,20.79,0.0069
7/25/2019,3016.26,3016.31,2997.24,3003.67,-12.59,-0.0042
7/26/2019,3013.25,3027.98,3012.59,3025.86,12.61,0.0042
7/29/2019,3024.47,3025.61,3014.30,3020.97,-3.50,-0.0012
7/30/2019,3007.66,3017.19,3000.94,3013.18,5.52,0.0018
7/31/2019,3016.22,3017.40,2958.08,2980.38,-35.84,-0.0119
8/1/2019,2980.32,3013.59,2945.23,2953.56,-26.76,-0.0090
8/2/2019,2943.90,2945.50,2914.11,2932.05,-11.85,-0.0040
8/5/2019,2898.07,2898.07,2822.12,2844.74,-53.33,-0.0184
8/6/2019,2861.18,2884.40,2847.42,2881.77,20.59,0.0072
8/7/2019,2858.65,2892.17,2825.71,2883.98,25.33,0.0089
8/8/2019,2896.21,2938.72,2894.47,2938.09,41.88,0.0145
8/9/2019,2930.51,2935.75,2900.15,2918.65,-11.86,-0.0040
8/12/2019,2907.07,2907.58,2873.14,2882.70,-24.37,-0.0084
8/13/2019,2880.72,2943.31,2877.05,2926.32,45.60,0.0158
8/14/2019,2894.15,2894.15,2839.64,2840.60,-53.55,-0.0185
8/15/2019,2846.20,2856.67,2825.51,2847.60,1.40,0.0005
8/16/2019,2864.74,2893.63,2864.74,2888.68,23.94,0.0084
8/19/2019,2913.48,2931.00,2913.48,2923.65,10.17,0.0035
8/20/2019,2919.01,2923.63,2899.60,2900.51,-18.50,-0.0063
8/21/2019,2922.04,2928.73,2917.91,2924.43,2.39,0.0008
8/22/2019,2930.94,2939.08,2904.51,2922.95,-7.99,-0.0027
8/23/2019,2911.07,2927.01,2834.97,2847.11,-63.96,-0.0220
8/26/2019,2866.70,2879.27,2856.00,2878.38,11.68,0.0041
8/27/2019,2893.14,2898.79,2860.59,2869.16,-23.98,-0.0083
8/28/2019,2861.28,2890.03,2853.05,2887.94,26.66,0.0093
8/29/2019,2910.37,2930.50,2905.67,2924.58,14.21,0.0049
8/30/2019,2937.09,2940.43,2913.32,2926.46,-10.63,-0.0036
9/3/2019,2909.01,2914.39,2891.85,2906.27,-2.74,-0.0009
9/4/2019,2924.67,2938.84,2921.86,2937.78,13.11,0.0045
9/5/2019,2960.60,2985.86,2960.60,2976.00,15.40,0.0052
9/6/2019,2980.33,2985.03,2972.51,2978.71,-1.62,-0.0005
9/9/2019,2988.43,2989.43,2969.39,2978.43,-10.00,-0.0033
9/10/2019,2971.01,2979.39,2957.01,2979.39,8.38,0.0028
9/11/2019,2981.41,3000.93,2975.31,3000.93,19.52,0.0065
9/12/2019,3009.08,3020.74,3000.92,3009.57,0.49,0.0002
9/13/2019,3012.21,3017.33,3002.90,3007.39,-4.82,-0.0016
9/16/2019,2996.41,3002.19,2990.67,2997.96,1.55,0.0005
9/17/2019,2995.67,3006.21,2993.73,3005.70,10.03,0.0033
9/18/2019,3001.50,3007.83,2978.57,3006.73,5.23,0.0017
9/19/2019,3010.36,3021.99,3003.16,3006.79,-3.57,-0.0012
9/20/2019,3008.42,3016.37,2984.68,2992.07,-16.35,-0.0054
9/23/2019,2983.50,2999.15,2982.23,2991.78,8.28,0.0028
9/24/2019,3002.43,3007.98,2957.73,2966.60,-35.83,-0.0119
9/25/2019,2968.35,2989.82,2952.86,2984.87,16.52,0.0056
9/26/2019,2985.73,2987.28,2963.71,2977.62,-8.11,-0.0027
9/27/2019,2985.47,2987.31,2945.53,2961.79,-23.68,-0.0079
9/30/2019,2967.07,2983.85,2967.07,2976.74,9.67,0.0033
10/1/2019,2983.69,2992.53,2938.70,2940.25,-43.44,-0.0146
10/2/2019,2924.78,2924.78,2874.93,2887.61,-37.17,-0.0127
